Experiments,Human Liver Carcinoma,Heatshock,UV,Hepatocyte GF,Interferons,Brain
iduc001abc.1,0.0,0.0,0.0,602.7211028532582,0.0,0.0
iduc001abr.1,0.0,128.09900113113773,97.19446963472934,0.0,0.0,0.0
iduc001abs.1,140.57273621062598,0.0,0.0,0.0,0.0,0.0
iduc001abu.1,214.73945588464434,0.0,0.0,0.0,0.0,0.0
iduc001abw.1,220.27861917533684,362.75113350409856,0.0,365.90011010220087,0.0,0.0
iduc001abz.2,474.83919028926823,614.3949508448401,0.0,0.0,0.0,0.0
iduc001aci.1,1339.1205820384032,0.0,0.0,0.0,2710.163258983131,0.0
iduc001ack.1,377.4020578942907,461.19199701489407,370.5110435122624,492.5599632431239,763.8006650699054,0.0
iduc001acu.2,109.23802773366923,141.34320429391872,107.24344184196227,142.57017893717594,221.08008286820615,0.0
iduc001adh.2,174.21375777870983,225.41537290074942,171.03277483150887,227.3721627452364,0.0,0.0
iduc001adk.1,0.0,174.85146608551784,132.6676661095822,176.36931985355014,0.0,0.0
iduc001ado.1,151.3502377733822,195.83223920604354,148.586721667935,197.5322232487036,0.0,0.0
iduc001aed.1,985.1102454029246,0.0,967.123038584735,0.0,0.0,0.0
iduc001aee.1,115.36377434316468,0.0,113.25733795381545,150.5650943375973,0.0,0.0
iduc001aeo.1,0.0,354.27089500055575,268.8012509273973,357.34625619093754,554.1280828871533,0.0
iduc001aep.1,0.0,0.0,712.5516969117411,0.0,0.0,0.0
iduc001aer.2,409.068186471977,0.0,401.59897771371897,533.8884796145052,0.0,0.0
iduc001afi.1,305.16687234430304,394.8557519425312,299.59480599687413,398.28342289281113,617.6083441473139,4816.337828274988
iduc001afm.1,451.31246888674656,0.0,443.0719183946812,589.0228959702297,913.3833710747574,0.0
iduc001afo.2,69.63773052589887,360.4173446369626,273.4648385219295,0.0,0.0,0.0
iduc001agd.1,56.80476121489313,0.0,11.153511706653221,74.13778094416018,114.9636402015202,0.0
iduc001agg.1,74.94978625135481,0.0,24.527090701758272,0.0,0.0,0.0
iduc001ahg.2,108.48108797852792,140.36379911177855,106.5003231103949,0.0,0.0,0.0
iduc001aia.1,98.22890496988286,0.0,0.0,0.0,0.0,0.0
iduc001aic.1,166.21633275347264,0.0,0.0,0.0,0.0,0.0
iduc001aif.1,3.56724899060501,4.615667394468652,42.02537166919211,4.655735163435779,0.0,0.0
iduc001aiq.1,50.333886958834945,0.0,0.0,0.0,0.0,0.0
iduc001aix.1,129.78920673867222,167.93439742372405,127.4193752246142,169.3922053770595,0.0,2048.415875927693
iduc001aiz.1,194.18282243402993,0.0,190.6372227369807,0.0,0.0,0.0
iduc001aja.2,32.43654210634883,5.995668217957651,31.844280687836047,42.33400866116188,65.64630985752774,511.9341544680573
iduc001ajc.2,214.25168880710967,0.0,210.33965007265957,0.0,0.0,0.0
iduc001aje.1,193.32995885551873,250.1498465101648,189.79993166281199,252.32135182034875,391.2685372615095,0.0
iduc001ajg.1,291.34920771376073,376.9770604716339,286.0294392107749,0.0,0.0,0.0
